owner_cluster,parent_owner_name,cluster_size,owner_source_type,owner_source_label,owner_source_url,owner_source_note,example_owner_name_raw_primary,example_facility_name,states
American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",38,official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,AMERICAN HEALTHCARE REIT INC,ARLINGTON PLACE HEALTH CAMPUS,IN|KY|MI|OH
Omega Healthcare Investors,"Omega Healthcare Investors, Inc.",26,official_company_site,Omega Healthcare Investors official site,https://www.omegahealthcare.com/about-us,Omega describes itself as a REIT focused primarily on skilled nursing and assisted living facilities.,OMEGA HEALTHCARE INVESTORS INC,BROOKDALE SANTA CATALINA,AZ|FL|IN|MD|NC|PA|TX|VA
NHC-OP LP,NHC-OP LP,23,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,NHC-OP LP,"NHC HEALTHCARE, ANNISTON",AL|KY|MO|SC|TN
National Health Investors,"National Health Investors, Inc.",8,official_company_ir,National Health Investors investor relations,https://investors.nhireit.com/,"NHI says it is a REIT specializing in senior housing, skilled nursing facilities, and medical investments.","NATIONAL HEALTH INVESTORS, INC.",AYERS HEALTH AND REHABILITATION CENTER,FL|TN|VA
Welltower,Welltower Inc.,8,official_company_site,Welltower product overview,https://welltower.com/product-overview/,Welltower describes post-acute care as part of its healthcare real estate platform.,WELLTOWER INC,AVIR AT GONZALES,TX
Healthpeak Properties,"Healthpeak Properties, Inc.",7,official_company_site,Healthpeak official site,https://healthpeak.com/about/,Healthpeak says it is a healthcare REIT that manages senior housing communities alongside other healthcare real estate.,HEALTHPEAK PROPERTIES INC,GALLERIA WOODS SKILLED NURSING FACILITY,AL|FL|PA
Sabra Health Care REIT,"Sabra Health Care REIT, Inc.",5,official_company_ir,Sabra investor overview,https://ir.sabrahealth.com/investors/overview/,"Sabra says it owns and invests in healthcare real estate, including skilled nursing facilities.",SABRA HEALTH CARE REIT INC,CADIA REHABILITATION CAPITOL,DE|IN|OR
WO HOLDINGS LLC,WO HOLDINGS LLC,5,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,WO HOLDINGS LLC,ANCHORAGE HEALTHCARE CENTER,MD
"ARI OPERATIONS, LLC","ARI OPERATIONS, LLC",4,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,"ARI OPERATIONS, LLC",AVAMERE REHABILITATION OF COOS BAY,OR|WA
CareTrust REIT,"CareTrust REIT, Inc.",3,official_company_site,CareTrust official site,https://www.caretrustreit.com/what-we-do,CareTrust says it is a healthcare REIT focused on acquiring and leasing skilled nursing and seniors housing properties.,CARETRUST REIT INC,GRAPEVINE MEDICAL LODGE,TX
"DALLAS TWO PROPERTY, LLC","DALLAS TWO PROPERTY, LLC",2,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,"DALLAS TWO PROPERTY, LLC",FOREST PARK NURSING & REHABILITATION,TX
FOCUSED POST ACUTE CARE PARTNERS LLC,FOCUSED POST ACUTE CARE PARTNERS LLC,2,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,FOCUSED POST ACUTE CARE PARTNERS LLC,FOCUSED CARE AT HUNTSVILLE,TX
JACKSON COUNTY SCHNECK MEMORIAL HOSPITAL,JACKSON COUNTY SCHNECK MEMORIAL HOSPITAL,2,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,JACKSON COUNTY SCHNECK MEMORIAL HOSPITAL,SIGNATURE HEALTHCARE AT PARKWOOD,IN
OMG RE HOLDINGS LLC,OMG RE HOLDINGS LLC,2,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,OMG RE HOLDINGS LLC,ELLICOTT CITY HEALTHCARE CENTER,MD|WV
SENIOR LIVING COMMUITIES LLC,SENIOR LIVING COMMUITIES LLC,2,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,SENIOR LIVING COMMUITIES LLC,MARSH'S EDGE,GA|SC
ALTEA MEDICAL OREGON LLC,ALTEA MEDICAL OREGON LLC,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,ALTEA MEDICAL OREGON LLC,GATEWAY CARE AND RETIREMENT,OR
BIGLERVILLE ROAD LLC,BIGLERVILLE ROAD LLC,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,BIGLERVILLE ROAD LLC,TRANSITIONS HEALTHCARE GETTYSBURG,PA
CASA/SIERRA CALIFORNIA ASSOCIATES LP,CASA/SIERRA CALIFORNIA ASSOCIATES LP,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,CASA/SIERRA CALIFORNIA ASSOCIATES LP,SIERRA VIEW CARE CENTER,CA
CHARLESTON PROPERTIES OF BOERNE LLC,CHARLESTON PROPERTIES OF BOERNE LLC,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,CHARLESTON PROPERTIES OF BOERNE LLC,CARE CHOICE OF BOERNE,TX
