owner_cluster,cluster_size,public_parent_name,public_entity_type,public_reit_status,public_source_label,public_source_url,public_source_note,verification_confidence,example_owner_name_raw_primary,example_facility_name,states
American Healthcare REIT / Trilogy,38,"American Healthcare REIT, Inc.",public_healthcare_reit,yes,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,high,AMERICAN HEALTHCARE REIT INC,ARLINGTON PLACE HEALTH CAMPUS,IN|KY|MI|OH
Omega Healthcare Investors,26,"Omega Healthcare Investors, Inc.",public_healthcare_reit,yes,Omega Healthcare Investors official site,https://www.omegahealthcare.com/about-us,Omega describes itself as a REIT focused primarily on skilled nursing and assisted living facilities.,high,OMEGA HEALTHCARE INVESTORS INC,BROOKDALE SANTA CATALINA,AZ|FL|IN|MD|NC|PA|TX|VA
NHC-OP LP,23,National HealthCare Corporation,operator_company,no,National HealthCare Corporation annual report,https://nhccare.com/wp-content/uploads/2025/07/Annual-Report-for-Website.pdf,NHC's annual report describes the company as an operator of skilled nursing and senior health care facilities.,medium,NHC-OP LP,"NHC HEALTHCARE, ANNISTON",AL|KY|MO|SC|TN
National Health Investors,8,"National Health Investors, Inc.",public_healthcare_reit,yes,National Health Investors investor relations,https://investors.nhireit.com/,"NHI says it is a REIT specializing in senior housing, skilled nursing facilities, and medical investments.",high,"NATIONAL HEALTH INVESTORS, INC.",AYERS HEALTH AND REHABILITATION CENTER,FL|TN|VA
Welltower,8,Welltower Inc.,public_healthcare_reit,yes,Welltower product overview,https://welltower.com/product-overview/,Welltower describes post-acute care as part of its healthcare real estate platform.,high,WELLTOWER INC,AVIR AT GONZALES,TX
Healthpeak Properties,7,"Healthpeak Properties, Inc.",public_healthcare_reit,yes,Healthpeak official site,https://healthpeak.com/about/,Healthpeak says it is a healthcare REIT with a senior housing portfolio.,high,HEALTHPEAK PROPERTIES INC,GALLERIA WOODS SKILLED NURSING FACILITY,AL|FL|PA
Sabra Health Care REIT,5,"Sabra Health Care REIT, Inc.",public_healthcare_reit,yes,Sabra investor overview,https://ir.sabrahealth.com/investors/overview/,"Sabra says it owns and invests in healthcare real estate, including skilled nursing facilities.",high,SABRA HEALTH CARE REIT INC,CADIA REHABILITATION CAPITOL,DE|IN|OR
WO HOLDINGS LLC,5,Omega Healthcare Investors-affiliated entity,private_reit_affiliate,yes_affiliate,Omega SEC filings / Maryland exemption request,https://mhcc.maryland.gov/mhcc/pages/hcfs/hcfs_con/documents/2023_exemption/communicare/con_communicare_ex015_exemption_request_20230414.pdf,State and SEC documents tie these entities to Omega or to Omega's subsidiary/affiliate structure.,medium,WO HOLDINGS LLC,ANCHORAGE HEALTHCARE CENTER,MD
"ARI OPERATIONS, LLC",4,Avamere,operator_company,no,Avamere official site,https://www.avamere.com/about/,Avamere describes itself as a post-acute and senior living care operator; mapping to ARI Operations comes from the local CMS owner records and Avamere-branded facilities.,medium,"ARI OPERATIONS, LLC",AVAMERE REHABILITATION OF COOS BAY,OR|WA
CareTrust REIT,3,"CareTrust REIT, Inc.",public_healthcare_reit,yes,CareTrust official site,https://www.caretrustreit.com/what-we-do,CareTrust says it acquires and leases skilled nursing and senior housing properties.,high,CARETRUST REIT INC,GRAPEVINE MEDICAL LODGE,TX
